ID,N_VICTIMAS,FECHA,AÑO,MES,DIA,HORA,HORA_ENTERA,TIPO_DE_CALLE,CALLE,COMUNA,COORDINADA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0106,1,2016/08/19,2016,8,19,21:02:00,21,AVENIDA,"PELLEGRINI, CARLOS",1,Point (107558.64146875 104433.48706482),-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,38
2016-0107,1,2016/08/20,2016,8,20,8:22:00,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,Point (108408.31858686 97219.56218484),-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,21
2016-0109,1,2016/08/24,2016,8,24,5:45:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,9,Point (94544.31344300 99185.28796442),-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,F,53
2016-0110,1,2016/08/24,2016,8,24,20:21:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,Point (95506.35959227 96696.89655626),-58.51232237,-34.65903530,PEATON-SD,PEATON,SD,PEATON,M,57
2016-0111,1,2016/08/25,2016,8,25,9:30:00,9,AUTOPISTA,LUGONES,15,Point (98961.36262767 105838.76329094),-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,27
2016-0112,1,2016/08/27,2016,8,27,4:40:00,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,1,Point (107392.50226602 100712.59265582),-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,M,24
2016-0113,1,2016/08/27,2016,8,27,16:45:00,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,Point (96998.81124177 98183.20743664),-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,F,60
2016-0114,1,2016/08/31,2016,8,31,11:20:00,11,CALLE,"SALGUERO, JERONIMO",14,Point (104111.05146856 103917.57944765),-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,F,55
2016-0115,1,2016/09/02,2016,9,2,11:50:00,11,CALLE,ARIAS,12,Point (97608.87024259 108884.67029908),-58.48935041,-34.54917673,SD-CARGAS,SD,CARGAS,SD,M,SD
2016-0116,1,2016/09/02,2016,9,2,20:20:00,20,AVENIDA,27 DE FEBRERO AV.,8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,30
2016-0117,1,2016/09/03,2016,9,3,15:30:00,15,AVENIDA,DEL LIBERTADOR AV.,14,Point (105865.95849347 105162.71037105),-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,M,43
2016-0118,1,2016/09/04,2016,9,4,3:30:00,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,Point (107696.68171812 100254.76268710),-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,M,27
2016-0119,1,2016/09/04,2016,9,4,6:40:00,6,AVENIDA,"LARRALDE, CRISOLOGO AV.",12,Point (96944.69676081 107291.52292157),-58.49659234,-34.56353635,SD-SD,SD,SD,PASAJERO_ACOMPAÑANTE,F,SD
2016-0122,1,2016/09/13,2016,9,13,7:10:00,7,AVENIDA,"PERON, EVA AV.",9,Point (99150.75069529 97484.46650280),-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,CICLISTA,M,49
2016-0123,1,2016/09/14,2016,9,14,9:00:00,9,AVENIDA,ASAMBLEA AV.,7,Point (101099.34592952 98750.07827754),-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,F,58
2016-0124,1,2016/09/16,2016,9,16,15:24:00,15,AVENIDA,RIVADAVIA AV.,7,Point (100053.89791316 100046.73776995),-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,67
2016-0125,1,2016/09/17,2016,9,17,12:14:00,12,AUTOPISTA,AUTOPISTA PERITO MORENO,10,Point (97532.91184699 98538.89061454),-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,M,30
2016-0126,2,2016/09/18,2016,9,18,22:45:00,22,CALLE,IRIGOYEN,10,Point (94275.54271123 100886.87954649),-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,M,37
2016-0126,2,2016/09/18,2016,9,18,22:45:00,22,CALLE,IRIGOYEN,10,Point (94275.54271123 100886.87954649),-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,PASAJERO_ACOMPAÑANTE,M,60
2016-0127,1,2016/09/24,2016,9,24,10:25:00,10,AVENIDA,"ACOSTA, MARIANO",8,Point (102048.72946345 95839.63478990),-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,50
2016-0128,1,2016/10/02,2016,10,2,11:30:00,11,AVENIDA,CASTRO,5,Point (104049.28528337 99858.37522846),-58.41914024,-34.63053890,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,F,81
2016-0130,1,2016/10/04,2016,10,4,12:30:00,12,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,Point (107720.24059557 100176.85101454),-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,29
2016-0131,1,2016/10/09,2016,10,9,19:13:00,19,CALLE,MIRAVE,4,Point (105921.45515383 98209.53178328),-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO,PEATON,M,35
2016-0132,1,2016/10/10,2016,10,10,2:30:00,2,AVENIDA,SAN JUAN AV.,3,Point (104853.84131654 100497.93573387),-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,M,30
2016-0133,1,2016/10/14,2016,10,14,0:05:00,0,AVENIDA,LAS HERAS GENERAL AV.,14,Point (105619.82089682 105083.85914124),-58.40204698,-34.58342690,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,41
